pet_id,issue_date,listing_date,condition,color_type,length(m),height(cm),X1,X2,breed_category,pet_category
ANSL_59733,06-09-2017 00:00,01-10-2018 15:51,2,Black,0.91,41.92,13,9,1,2
ANSL_66903,31-07-2013 00:00,22-08-2016 11:04,0,Black,0.69,41.93,0,7,1,2
ANSL_70167,17-02-2016 00:00,07-07-2017 18:08,0,Orange Tabby,0.06,33.95,7,1,1,1
ANSL_60808,04-10-2016 00:00,27-01-2017 12:38,1,Brown Tabby,0.37,26.27,0,1,0,1
ANSL_50064,05-01-2018 00:00,27-01-2019 16:02,1,Orange Tabby,0.47,7.59,0,7,0,1
ANSL_73811,24-10-2016 00:00,07-02-2017 14:33,1,Brown Tabby,0.88,44.54,0,1,0,1
ANSL_71122,11-01-2016 00:00,13-02-2018 19:04,1,Black,0.09,29.71,0,7,0,2
ANSL_57006,03-02-2016 00:00,29-03-2018 11:37,1,Tan,0.87,20.66,0,1,0,2
ANSL_59199,12-01-2018 00:00,01-06-2018 17:20,1,Orange Tabby,0.66,23.94,7,1,0,1
ANSL_58890,29-09-2014 00:00,20-10-2018 16:14,1,White,0.64,41.35,0,7,0,2
ANSL_57463,23-11-2011 00:00,17-12-2016 13:14,2,Tricolor,0.51,13.5,13,9,1,2
ANSL_63374,23-08-2014 00:00,12-10-2016 10:22,2,Red Merle,0.29,6.67,13,9,0,2
ANSL_60951,07-06-2006 00:00,09-07-2018 09:53,0,Black,0.04,9.82,0,7,1,2
ANSL_63454,02-11-2017 00:00,17-01-2018 10:44,2,Black Tabby,0.16,8.04,7,1,0,1
ANSL_73065,10-09-2017 00:00,08-12-2017 16:06,2,Brown Tabby,0.61,39.88,0,1,1,1
ANSL_72681,26-09-2007 00:00,17-10-2016 10:07,2,Brown,0.66,18.9,18,4,1,2
ANSL_60874,09-07-2017 00:00,20-11-2017 12:53,0,Orange Tabby,0.15,36.78,0,1,1,1
ANSL_51360,18-02-2016 00:00,19-03-2017 15:23,1,Black,0.19,25.17,0,1,0,2
ANSL_50693,04-08-2017 00:00,04-11-2017 12:03,,Black,0.73,29.2,0,4,2,4
ANSL_59052,30-01-2016 00:00,08-09-2016 15:33,2,White,0.49,5.36,13,9,1,2
ANSL_51733,13-08-2018 00:00,09-12-2018 19:01,1,Blue,0.33,17.73,0,1,0,1
ANSL_51044,14-04-2012 00:00,23-05-2017 15:26,1,Black,0.73,35.55,0,1,0,1
ANSL_52522,07-07-2016 00:00,24-08-2016 18:49,,Orange Tabby,0.87,16.35,13,9,2,1
ANSL_56453,27-03-2010 00:00,30-09-2016 16:18,1,Tan,0.63,30.38,0,7,0,2
ANSL_53286,18-11-2016 00:00,16-04-2017 12:45,2,Brown Tabby,0.09,31.36,18,4,0,1
ANSL_74473,23-07-2017 00:00,04-03-2018 00:00,1,Orange Tabby,0.24,12.49,13,9,0,1
ANSL_55528,07-07-2016 00:00,28-09-2017 14:19,0,Black,0,17.1,0,1,1,2
ANSL_75495,13-03-2019 00:00,10-04-2019 16:11,2,White,0.9,35.86,13,9,0,2
ANSL_59681,19-01-2016 00:00,15-11-2017 12:15,1,Red,0.06,43.61,7,1,0,2
ANSL_66966,17-12-2015 00:00,21-01-2017 18:49,0,Tan,0.42,19.77,0,1,1,2
ANSL_69802,28-01-2017 00:00,24-04-2018 18:42,1,Fawn,0.12,25.23,0,1,0,2
ANSL_58527,10-07-2016 00:00,28-10-2016 17:43,0,Tortie,0.33,32.86,0,1,1,1
ANSL_69588,12-04-2016 00:00,04-05-2018 09:00,2,Tortie,0.26,31.88,16,9,1,1
ANSL_58694,29-10-2017 00:00,06-02-2018 18:00,2,Calico,0.96,45.54,0,1,1,1
ANSL_76255,27-02-2016 00:00,28-04-2019 18:27,0,Buff,0.62,47.82,0,1,1,2
ANSL_50371,29-03-2013 00:00,28-08-2016 11:33,1,White,0.9,35.33,0,7,0,2
ANSL_54477,08-11-2018 00:00,06-03-2019 12:37,2,Brown Tabby,0.1,33.83,17,9,1,1
ANSL_60025,24-05-2016 00:00,26-11-2016 18:16,1,Brown Tabby,0.85,34.59,0,1,0,1
ANSL_52937,06-01-2012 00:00,03-02-2017 13:32,1,Blue,0.56,15.28,13,9,0,1
ANSL_72533,24-06-2015 00:00,08-09-2017 00:00,1,Black,0.47,30.8,0,7,0,2
ANSL_64086,15-06-2018 00:00,10-10-2018 15:27,1,Black,0.08,8.46,17,9,0,1
ANSL_53396,10-11-2016 00:00,08-12-2017 12:46,0,Yellow,0.45,35.76,0,7,1,2
ANSL_76691,12-01-2019 00:00,08-05-2019 10:56,0,Black,0.54,15.61,7,1,1,1
ANSL_73579,12-03-2016 00:00,20-02-2017 12:08,0,White,0.06,41.49,13,9,1,2
ANSL_52510,03-06-2016 00:00,15-10-2017 14:27,1,White,0.15,28.19,0,7,0,2
ANSL_76166,23-01-2019 00:00,27-04-2019 12:11,1,Black,0.87,25.13,7,1,0,2
ANSL_52580,08-02-2013 00:00,09-03-2017 15:40,1,Black,0.63,46.43,0,1,0,2
ANSL_71686,02-01-2017 00:00,27-06-2017 14:35,2,Black,0.81,12.33,13,9,0,2
ANSL_72491,05-11-2016 00:00,20-02-2017 09:26,1,Cream Tabby,0.28,46.19,7,1,0,1
ANSL_74884,17-12-2018 00:00,27-03-2019 16:35,1,Cream Tabby,0.95,35.16,0,1,0,1
ANSL_62012,29-10-2017 00:00,10-03-2018 17:36,0,Cream Tabby,0.6,34.45,0,1,1,1
ANSL_63508,13-06-2018 00:00,10-12-2018 17:36,0,White,0.53,9,0,7,1,2
ANSL_76016,28-12-2018 00:00,23-04-2019 17:07,1,Tan,0.53,47.79,0,1,0,2
ANSL_71410,05-08-2015 00:00,07-11-2016 11:40,0,Brown Brindle,0.62,41.68,13,9,1,2
ANSL_73201,15-11-2015 00:00,10-12-2016 18:13,1,White,0.96,32.02,0,1,0,2
ANSL_75627,19-02-2019 00:00,13-04-2019 12:35,2,Brown,0.69,29.85,13,9,1,2
ANSL_52039,05-07-2014 00:00,29-01-2018 17:22,1,Gold,0.31,12.21,0,1,0,2
ANSL_71606,15-12-2016 00:00,16-01-2018 19:04,1,Tan,0.83,17.07,0,1,0,2
ANSL_64617,04-07-2017 00:00,08-10-2018 17:39,1,Yellow,0.3,49.38,0,1,0,2
ANSL_58135,29-07-2014 00:00,26-03-2017 13:28,1,White,0.07,36.77,0,7,0,2
ANSL_58561,23-04-2016 00:00,27-05-2017 00:00,0,Black,0.78,40.17,13,9,1,2
ANSL_60859,07-06-2011 00:00,02-02-2017 15:55,1,Lynx Point,0.41,38.73,0,1,0,1
ANSL_55466,29-02-2012 00:00,19-03-2018 18:22,0,Black,0.61,37.27,0,7,1,2
ANSL_54562,08-01-2015 00:00,23-02-2019 18:53,0,Black,0.29,31.53,0,1,1,2
ANSL_51578,13-11-2018 00:00,03-02-2019 18:19,1,Gray,0.79,33.12,0,1,0,1
ANSL_60650,06-01-2017 00:00,20-03-2017 14:15,2,Black,0.96,30.64,13,9,1,2
ANSL_65469,31-08-2017 00:00,21-05-2018 13:04,0,Brown Brindle,0.86,22.95,0,1,1,2
ANSL_58680,14-09-2017 00:00,09-03-2018 14:16,1,Blue Tabby,0.41,22.76,0,1,0,1
ANSL_54191,07-01-2015 00:00,13-05-2018 17:28,1,Blue,0.65,29.95,0,1,0,2
ANSL_52842,15-12-2004 00:00,21-01-2017 18:22,0,Black,0.55,35.53,0,1,1,2
ANSL_59063,20-03-2006 00:00,16-04-2017 14:53,1,Orange Tabby,0.97,27.9,0,1,0,1
ANSL_69493,10-08-2016 00:00,21-10-2016 16:32,2,Black,0.85,32.17,18,4,0,1
ANSL_59822,11-05-2018 00:00,22-09-2018 17:22,0,Brown,0,20.55,0,1,1,2
ANSL_63256,22-07-2017 00:00,19-10-2017 17:42,1,Black,0.56,43.07,7,1,0,1
ANSL_52194,30-06-2007 00:00,02-06-2017 12:29,1,Tan,0.93,13.47,0,7,0,2
ANSL_65838,11-12-2016 00:00,13-07-2018 14:25,1,Black,0.73,44.25,13,9,0,1
ANSL_57438,04-03-2016 00:00,03-11-2017 17:46,1,Tan,0.05,39.86,0,1,0,2
ANSL_59684,19-07-2012 00:00,16-12-2018 17:08,1,Black,0.71,28.59,0,7,0,2
ANSL_63003,25-03-2009 00:00,16-05-2017 12:29,1,Black,0.2,41.9,0,1,0,2
ANSL_62671,02-09-2017 00:00,10-12-2017 18:11,0,Brown Tabby,0.08,49.17,0,1,1,1
ANSL_72296,08-12-2006 00:00,18-02-2018 10:45,1,Buff,0.21,38.8,0,7,0,2
ANSL_67459,09-07-2015 00:00,29-01-2017 17:00,2,Black,0.15,39.21,0,7,1,2
ANSL_76378,31-03-2018 00:00,01-05-2019 17:15,2,Black,0.89,29.68,0,7,0,2
ANSL_66757,13-12-2017 00:00,12-03-2018 08:40,0,Torbie,0.74,27.37,7,1,1,1
ANSL_74977,23-11-2016 00:00,19-12-2017 18:33,1,Tan,0.64,8.23,0,1,0,2
ANSL_51843,24-10-2017 00:00,21-11-2017 18:17,,Torbie,0.95,17.16,13,9,2,1
ANSL_73330,16-09-2016 00:00,08-09-2018 12:27,1,Blue,0.04,14.75,0,1,0,1
ANSL_53541,03-01-2008 00:00,06-07-2018 16:55,0,Tan,0.49,37.41,7,1,1,2
ANSL_54736,30-07-2012 00:00,24-08-2015 08:00,2,Buff,0.91,5.19,13,9,0,2
ANSL_71077,02-08-2016 00:00,28-10-2018 15:44,1,Yellow,0.75,18.48,13,9,0,2
ANSL_67366,21-03-2006 00:00,11-04-2018 14:33,1,Chocolate,0.06,33.8,0,7,0,2
ANSL_67172,24-05-2015 00:00,15-06-2018 09:00,2,Tan,0.31,19.13,16,9,0,1
ANSL_65288,07-11-2016 00:00,29-11-2017 09:00,2,Brown Tabby,0.84,38.64,16,9,1,1
ANSL_55285,03-07-2013 00:00,14-03-2018 13:38,0,Black,0.85,23.15,0,1,1,2
ANSL_71667,04-11-2015 00:00,05-01-2017 12:21,0,Brown Tabby,0.38,36.04,0,1,1,1
ANSL_75551,17-03-2019 00:00,12-04-2019 12:26,2,Black,0.47,18.49,13,9,0,1
ANSL_50532,15-10-2016 00:00,05-03-2017 13:21,2,Orange Tabby,0.42,28.31,13,9,0,1
ANSL_53598,29-12-2015 00:00,20-01-2018 12:52,0,Tan,0.46,31.9,0,7,1,2
ANSL_65825,09-11-2014 00:00,07-03-2018 17:27,0,Black,0.33,38.9,0,1,1,2
ANSL_56327,23-05-2015 00:00,14-11-2016 09:00,2,Brown Tabby,0.79,29.49,16,9,1,1
ANSL_74062,27-08-2013 00:00,22-09-2018 17:44,0,White,0.04,16.33,0,1,1,2
ANSL_65407,03-07-2015 00:00,24-07-2018 13:38,2,Black,0.73,40.05,0,7,1,2
ANSL_51576,25-06-2018 00:00,09-11-2018 12:26,0,Black,0.3,34.08,0,1,1,1
ANSL_57312,21-11-2017 00:00,15-02-2018 17:12,0,Blue,0.12,5.69,0,1,1,1
ANSL_74799,24-08-2010 00:00,19-09-2018 15:06,0,Red,0.28,34.77,13,9,1,2
ANSL_65378,30-11-2016 00:00,11-03-2017 17:52,0,Red,0.22,16.2,0,1,1,2
ANSL_56804,29-07-2018 00:00,15-11-2018 18:36,1,Black,0.02,28.51,0,1,0,1
ANSL_56125,25-02-2018 00:00,19-05-2018 08:45,1,Tan,0.97,30.57,0,1,0,2
ANSL_50671,22-05-2009 00:00,19-06-2017 17:44,0,Red,0.35,48.44,0,1,1,2
ANSL_62494,18-05-2012 00:00,13-04-2018 14:35,1,Brown,0.65,13.1,0,7,0,2
ANSL_50956,24-08-2016 00:00,18-11-2016 17:38,1,Chocolate,0.15,20.29,0,1,0,2
ANSL_55214,03-02-2018 00:00,02-03-2019 17:20,1,Tan,0.22,8.16,0,1,0,2
ANSL_70892,22-04-2016 00:00,13-05-2017 09:42,,Black,0.57,9.16,15,4,2,4
ANSL_58065,24-11-2016 00:00,20-02-2017 13:57,1,Orange Tabby,0.27,16.82,7,1,0,1
ANSL_74290,28-08-2017 00:00,03-12-2017 09:34,2,White,0.95,21.23,8,2,1,1
ANSL_54309,08-11-2015 00:00,29-11-2016 14:31,2,Blue,0.62,22.14,18,4,0,1
ANSL_57284,07-04-2017 00:00,06-01-2018 18:36,2,Blue,0.93,37.85,13,9,1,2
